תאריך,שעה,וידאו,סוג מדיה,טקסט הציוץ,קישור,צפיות,לייקים,ריטוויטים,תגובות,שיעור מעורבות %,מקור,tweet_id
2026-06-08,20:59,כן,Video,"יום הולדת, יום עצמאות ומונדיאל - למה טראמפ מתנגד להסלמה? | @michalresh עם הלו""ז של נשיא ארצות הברית  #מהדורתכאןחדשות עם @TaliMoreno_",https://x.com/kann_news/status/2064044757471371424,2635,3,0,1,0.15,advanced_search,2064044757471371424
2026-06-09,08:00,לא,Text,יומיים למונדיאל הגדול בהיסטוריה: הכירו את סיפורן של הנבחרות הקטנות שישתתפו בגביע העולם בכדורגל - ושרוב האנשים לא יודעים לסמן על המפה | החלום האמריקני עם @lianwildau >>>  כאן חדשות ברשת ב'🎙️| #הבוקרהזה @amsterdamski2,https://x.com/kann_news/status/2064211072307879959,4785,5,3,1,0.19,advanced_search,2064211072307879959
2026-06-09,19:11,כן,Video,"התשוקה לגביע שישי במונדיאל בברזיל חיה ובועטת, גם אחרי 24 שנים עקרות. הכירו את ג'רבאס מריו, שמייצר העתקים מוזהבים לאוהדים שמסרבים להפסיק לחלום. הכתבה המלאה - הערב ב-20:00 במהדורת כאן חדשות  @pelegnet @itamarmeiri78",https://x.com/kann_news/status/2064379784470069408,9422,15,1,41,0.63,advanced_search,2064379784470069408
2026-06-09,22:06,כן,Video,"סערה במונדיאל: השופט הסודני סורב כניסה לארה""ב והוטס בחזרה למדינתו, למרות שהחזיק בוויזה | @Itsik_zuarets עם הפרטים  #מהדורתכאןחדשות עם @talberman",https://x.com/kann_news/status/2064423816432926745,5083,5,1,0,0.12,advanced_search,2064423816432926745
2026-06-10,06:00,כן,Video,"הערב ב-20:00 במהדורת כאן חדשות | יממה למונדיאל: כל העדכונים מאמריקה, וגם: איך ייראה המונדיאל בזמן מלחמה?  @urildorl @AnnaPines_ @Itsik_zuarets",https://x.com/kann_news/status/2064543157073678681,5049,6,7,0,0.26,advanced_search,2064543157073678681
2026-06-10,09:05,לא,Text,"""הריקוד האחרון"" של מסי ורונאלדו: מי יירשו את שני הענקים?  כאן חדשות ברשת ב'🎙️| #הבוקרהזה @lianwildau",https://x.com/kann_news/status/2064589653152342151,2092,1,1,1,0.14,advanced_search,2064589653152342151
2026-06-10,11:35,לא,Text,נכנסים לאווירה: מה הישראלים מחפשים ברשת לקראת שריקת הפתיחה של המונדיאל?  @Google,https://x.com/kann_news/status/2064627613008552219,2025,2,1,0,0.15,advanced_search,2064627613008552219
2026-06-11,08:53,כן,Video,"""האירוע הכי גדול אי פעם"": לקראת משחקי גביע העולם - הצצה לאולפן המונדיאל החדש של כאן 11 @YoavBorowitz   #מהדורתכאןחדשות",https://x.com/kann_news/status/2064949245518438575,3797,6,2,0,0.21,advanced_search,2064949245518438575
2026-06-12,15:39,לא,Text,מבוכה במונדיאל: מאות מושבים נותרו ריקים במשחק של צ'כיה ודרום קוריאה   @ishayb2003,https://x.com/kann_news/status/2065413627440476313,6830,17,1,8,0.41,advanced_search,2065413627440476313
2026-06-15,16:38,לא,Text,"בפיפ""א יוזמים משחק ידידות בין נבחרות ישראל ופלסטין עד גיל 15 בארה""ב, בהתאחדות לכדורגל לא מתנגדים  @YoavBorowitz",https://x.com/kann_news/status/2066515640215621658,2722,6,3,0,0.37,advanced_search,2066515640215621658
