platform,month,posts,views,reach,likes,comments,shares,saves,follows,video_views_3s,watch_hours,וידאו,לינק,סטטוס,קרוסלה,רילס,תמונה,views_valid,reach_valid,shares_valid,saves_valid,follows_valid
facebook,2024-01,469,0.0,14854574.0,449793.0,69373.0,29166.0,0.0,0.0,9357223.0,194756.3952663889,293,0,14,0,0,162,False,False,False,False,False
facebook,2024-02,391,0.0,14580613.0,326205.0,58362.0,19284.0,0.0,0.0,9074940.0,157676.82077194445,261,1,6,0,0,123,False,False,False,False,False
facebook,2024-03,448,0.0,12138497.0,270447.0,68032.0,14497.0,0.0,0.0,7089380.0,115317.71410027778,283,4,6,0,0,155,False,False,False,False,False
facebook,2024-04,464,0.0,11909767.0,271757.0,68572.0,15812.0,0.0,0.0,7549470.0,120324.16314861111,280,2,6,0,0,176,False,False,False,False,False
facebook,2024-05,437,0.0,11509984.0,323183.0,62649.0,19322.0,0.0,0.0,6263030.0,84915.47879555555,248,2,3,0,0,184,False,False,False,False,False
facebook,2024-06,439,0.0,11115176.0,411212.0,79662.0,22007.0,0.0,0.0,6343387.0,82325.26592,246,0,5,0,0,188,False,False,False,False,False
facebook,2024-07,429,0.0,13185738.0,380708.0,83070.0,21147.0,0.0,0.0,7475744.0,106623.38202888888,233,5,11,0,0,180,True,False,False,False,False
facebook,2024-08,433,0.0,17602456.0,541098.0,104585.0,33374.0,0.0,0.0,11407066.0,153243.26690416667,217,6,16,0,0,194,True,False,False,False,False
facebook,2024-09,422,0.0,15799500.0,445640.0,106692.0,23805.0,0.0,0.0,10358447.0,108939.53398666666,227,0,21,0,0,174,True,True,True,True,True
facebook,2024-10,473,0.0,11460184.0,447676.0,87993.0,19586.0,0.0,0.0,7943524.0,97997.80851833333,257,1,15,0,0,200,True,True,True,True,True
facebook,2024-11,447,0.0,10738025.0,290981.0,79035.0,15902.0,0.0,0.0,6947663.0,99872.47107944444,264,0,7,0,0,176,True,True,True,True,True
facebook,2024-12,367,0.0,12634108.0,291746.0,84117.0,17110.0,0.0,0.0,8061114.0,113700.20689472221,221,1,5,0,0,140,True,True,True,True,True
instagram,2024-01,321,0.0,64656.0,1033709.0,64406.0,231.0,37960.0,15.0,0.0,0.0,0,0,0,41,147,133,False,False,False,False,False
instagram,2024-02,243,0.0,31943.0,585317.0,36788.0,111.0,19212.0,10.0,0.0,0.0,0,0,0,41,121,81,False,False,False,False,False
instagram,2024-03,259,0.0,43048.0,556552.0,46429.0,78.0,20933.0,34.0,0.0,0.0,0,0,0,40,113,106,False,False,False,False,False
instagram,2024-04,318,0.0,96131.0,834954.0,54859.0,158.0,29951.0,43.0,0.0,0.0,0,0,0,60,143,115,False,False,False,False,False
instagram,2024-05,387,0.0,90464.0,1219193.0,77788.0,406.0,36634.0,35.0,0.0,0.0,0,0,0,75,153,159,False,False,False,False,False
instagram,2024-06,356,0.0,188679.0,1256642.0,73653.0,821.0,36573.0,84.0,0.0,0.0,0,0,0,69,159,128,False,False,False,False,False
instagram,2024-07,345,34105736.0,412400.0,939973.0,64896.0,3598.0,31635.0,203.0,0.0,0.0,0,0,0,57,153,135,True,False,False,False,False
instagram,2024-08,344,36115060.0,2945819.0,1118966.0,57165.0,14911.0,29004.0,1015.0,0.0,0.0,0,0,0,44,133,167,True,False,False,False,False
instagram,2024-09,330,41679030.0,25816653.0,1028534.0,239751.0,123164.0,39224.0,20837.0,0.0,0.0,0,0,0,62,136,132,True,True,True,True,True
instagram,2024-10,401,43507352.0,27497205.0,1181963.0,129761.0,108046.0,36242.0,4627.0,0.0,0.0,0,0,0,54,184,163,True,True,True,True,True
instagram,2024-11,372,30728260.0,19915518.0,892929.0,79369.0,78470.0,27811.0,2319.0,0.0,0.0,0,0,0,58,160,154,True,True,True,True,True
