video_id,published_at,published_time,title,description,thumbnail_url,tags,video_type,views,likes,comments,duration_seconds,duration_formatted,like_rate,comment_rate,video_url,last_updated,views_delta,views_lifetime,lifetime_checked
58scXwHtw64,2026-08-10,19:14,הדור הבא של תרופות ההרזיה - והחברה הישראלית שהסתבכה,"כאן חדשות | זריקות ההרזיה הפכו לאחד המוצרים המבוקשים בעולם - עם עשרות מיליוני משתמשים מסביב לגלובוס, ונראה שזוהי רק ההתחלה. ענקיות הפארמה לא עוצרות, וממשיכות לפתח תרופות עוצמתיות עוד יותר, וכבר בקרוב נוכל גם כאן למצוא את גרסאות הכדורים של הזריקות המוכרות. ובתוך קרב הענקים הזה - יש גם חברה ישראלית קטנה שמנסה לפרוץ לשוק עם אלטרנטיבה ייחודית בדמות קפסולה לא תרופתית - ובדרך היא הספיקה כבר להסתבך בדרמה עסקית מול ענקית המזון ""נסטלה"" ובחקירה של רשות ניירות ערך. הכתבה של נוב ראובני, מתוך מהדורת כאן חדשות 10.08.26


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/58scXwHtw64/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",רגיל,5437,84,19,768,12m 48s,1.54,0.3495,https://www.youtube.com/watch?v=58scXwHtw64,2026-08-11 08:30,0,0,0
SGKy_e2iHP0,2026-08-10,17:52,"אופק אנדק הוא הזמר המפורסם שחשוד בתקיפת בת זוגו: ""מעולם לא הייתי אלים""","כאן חדשות | אופק אדנק חשף שהוא הזמר החשוד בתקיפת בת זוגו. בפרסום באינסטגרם הוא כתב שהתפתח ויכוח סוער בין השניים, אבל הוסיף: ""מעולם לא הייתי אלים"". אדנק שוחרר למעצר בית לאחר שנעצר בעקבות תלונה של בת הזוג על כך שפגע בה. הכתבה של אנה פינס, מתוך מהדורת כאן חדשות 10.08.26


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/SGKy_e2iHP0/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",רגיל,8463,105,41,187,3m 7s,1.24,0.4845,https://www.youtube.com/watch?v=SGKy_e2iHP0,2026-08-11 08:30,0,0,0
YvZGBWX2DLg,2026-08-10,18:40,שאול אמסטרדמסקי בעקבות שחקן הענק שמייקר לנו את הענבים,"כאן חדשות | אם בכל פעם שאתם אוכלים ענבים מתנגנת לכם בראש מנגינה עם חרוז מוכר - זה ממש לא במקרה. בשוק הענבים בישראל יש שחקן גדול אחד, והמחירים גבוהים במיוחד, אבל יש מי ששואף להיכנס למשחק ולשנות את המצב. יצאנו למסע בשדות בעקבות הזנים החדשים, וטעם את הענבים של העתיד. הכתבה של שאול אמסטרדמסקי, מתוך מהדורת כאן חדשות 10.08.26


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/YvZGBWX2DLg/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",רגיל,14489,211,43,775,12m 55s,1.46,0.2968,https://www.youtube.com/watch?v=YvZGBWX2DLg,2026-08-11 08:30,0,0,0
kZ9a6SQ8nzw,2026-08-10,08:06,סיון פניני סיפרה איך שני משולשים וחוט שינו את העולם (סמדר ברנדיס),"כאן חדשות | 


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/kZ9a6SQ8nzw/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",Shorts,9672,88,10,50,50s,0.91,0.1034,https://www.youtube.com/watch?v=kZ9a6SQ8nzw,2026-08-11 08:30,0,0,0
nrdMuwbel5I,2026-08-10,08:17,"אין עתיד? הטרגדיה הפוליטית של יאיר לפיד (מתוך ההסכת ""עד הקצה"" עם קרן נויבך)","כאן חדשות | 


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/nrdMuwbel5I/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",Shorts,17708,121,26,57,57s,0.68,0.1468,https://www.youtube.com/watch?v=nrdMuwbel5I,2026-08-11 08:30,0,0,0
8zQ6r5mkz2Y,2026-08-10,11:34,"מפקד ביהל""ם על חילוץ ששת החטופים שנרצחו: ""אחד הרגעים הקשים שהיו לי"" (חן ביאר)","כאן חדשות | 


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/8zQ6r5mkz2Y/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",Shorts,14145,220,4,46,46s,1.56,0.0283,https://www.youtube.com/watch?v=8zQ6r5mkz2Y,2026-08-11 08:30,0,0,0
qik-iBsN95w,2026-08-10,17:51,"חשיפה: מדינה רצתה לחתום על ""הסכם שלום"" עם ישראל - כדי ""להרדים"" אותה","כאן חדשות | חשיפת כאן חדשות: במסגרת מגעים חשאיים, מדינה ייעצה למדינה אחרת לחתום על הסכם שלום עם ישראל – כתרגיל הונאה. המטרה, לפי הדיווח, היא ""להרדים"" את ישראל, להפר את ההסכם בשלב מאוחר יותר – ולהיערך לעימות צבאי מולה. הכתבה של רועי קייס, מתוך מהדורת כאן חדשות 10.08.26


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/qik-iBsN95w/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",רגיל,18347,230,94,222,3m 42s,1.25,0.5123,https://www.youtube.com/watch?v=qik-iBsN95w,2026-08-11 08:30,0,0,0
lAl4vfQe4LI,2026-08-10,17:52,איפה ארטיום? העיתונאי הרוסי שהגיע לארץ - ונעלם כלא היה,"כאן חדשות | איש תקשורת רוסי נחת בישראל - ונעלם. כמעט שבוע עבר מאז הגיע ארטיום קירפיצ'נוק לארץ, לכנס שאליו הוא הוזמן, ומאז משפחתו וקרוביו מספרים שאבד עימו כל קשר. הכתבה של איתמר וישנקו, מתוך מהדורת כאן חדשות 10.08.26


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/lAl4vfQe4LI/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",רגיל,4371,63,39,126,2m 6s,1.44,0.8922,https://www.youtube.com/watch?v=lAl4vfQe4LI,2026-08-11 08:30,0,0,0
Z1O9ZFKz8b4,2026-08-10,17:52,"עלייה בפשיעה הלאומנית ביו""ש - וגם באירועי אלימות נגד כוחות הביטחון","כאן חדשות | לפי נתונים חדשים של מערכת הביטחון, נרשם זינוק מדאיג בפשיעה הלאומנית ביהודה ושומרון לעומת התקופה המקבילה בשנה שעברה - גם באירועי אלימות מתנחלים נגד פלסטינים, וגם נגד כוחות הביטחון באזור. הכתבה של חיים גולדיטש, מתוך מהדורת כאן חדשות 10.08.26


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/Z1O9ZFKz8b4/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",רגיל,1998,35,32,202,3m 22s,1.75,1.6016,https://www.youtube.com/watch?v=Z1O9ZFKz8b4,2026-08-11 08:30,0,0,0
Zb7vuCw29Xk,2026-08-10,17:53,"מה יהיה ב-1 בספטמבר? אין מטפלות, המחירים מזנקים - וההורים חסרי אונים","כאן חדשות | המטפלות חסרות - והמחירים מזנקים: שלושה שבועות לפני 1 בספטמבר, אבל הורים רבים עדיין לא יודעים אם יהיה להם לאן לשלוח את הילדים הקטנים שלהם. הכתבה של לירן כוג'הינוף, מתוך מהדורת כאן חדשות 10.08.26


• כאן חדשות בטיקטוק ◄ https://www.tiktok.com/@kan_news
• כאן חדשות באינסטגרם ◄ https://www.instagram.com/kan_news
• כאן חדשות בפייסבוק ◄ https://www.facebook.com/kan.news
• להורדת יישומון כאן ◄ https://bit.ly/3pYFZQ2
• להרשמה לערוץ היוטיוב שלנו ◄ https://goo.gl/oVdgEa
• לאתר כאן הרשמי ◄ http://www.kan.org.il/",https://i.ytimg.com/vi/Zb7vuCw29Xk/maxresdefault.jpg,"כאן,כאן | חדשות תאגיד השידור הישראלי,כאן חדשות טלוויזיה,חדשות כאן,שידורים,חדשות תאגיד השידור כאן,כאן חדשות,hadashot 11",רגיל,4887,78,51,257,4m 17s,1.6,1.0436,https://www.youtube.com/watch?v=Zb7vuCw29Xk,2026-08-11 08:30,0,0,0
