video_id,date,type,title,duration_sec,views,likes,comments,shares,whatsapp_shares,saves
7671249369584127239,2026-08-07,Video,"מה באמת קורה במחנות הצופים? עדויות קשות על אלימות, השפלות והטרדות שמסתתרות מאחורי ה""מסורות"" בתנועה. @liran_kogahinoff מתנועת הצופים נמסר בתגובה: ""תנועת הצופים היא תנועת הנוער הגדולה בישראל ובה פעילים ופעילות כמאה אלף בני ובנות נוער. עם אתגרי השעה, הוציאה התנועה בקיץ למחנות עשרות אלפי חניכים וחניכות שבחרו לצאת לטבע, להתנדב ולהוביל למען הקהילה ולמען החברה הישראלית. בשנים האחרונות חווים בני הנוער חוסר וודאות ובדידות והבחירה שלהם לפעול יחד, לקדם ערכים קבוצתיים, ערכי אהבת האדם, אהבת הארץ ועוד אינה מו",233,664427,33562,994,14222,2643,3375
7669525587341495572,2026-08-02,Video,מה עומד מאחורי ההיעלמות המסתורית של הקוטג'? (יובל אגסי),58,406813,16560,307,1627,319,573
7669926929545350420,2026-08-03,Video,חכו עד שתראו איך החדר שלהם במלון נראה 😵‍💫 @itsikzuarets,300,1946375,95351,4501,57002,15885,9575
7672765863363120392,2026-08-11,Video,"שלושה שבועות לפני 1 בספטמבר, ויש הורים שעדיין לא יודעים לאן ישלחו את הילדים - בגלל מצוקת כוח האדם במעונות  @liran_kogahinoff",65,4990,94,4,2,1,4
7672726516576308500,2026-08-11,Video,בקרוב נפסיק עם הזריקות? (נוב ראובני),635,19252,335,6,78,36,49
7672725997736693012,2026-08-11,Video,מ-8 שקלים אצל החקלאי ועד 60 לצרכן: למה הענבים כל כך יקרים? @amsterdamski2,692,11782,263,14,19,11,14
7672658094593281300,2026-08-11,Video,"""האידיוט הזה נפל על גולנצ'יק"": עימות מצולם בין יוסף חדאד ובין המשפיען האמריקני דניס פייטוזה, הידוע כ-Def Noodles, התפתח לעימות פיזי במגרש החניה. בתיעוד ניתן לראות את פייטוזה ת1קף את חדאד, שמגיב ומכה בו בחזרה. חדאד העלה בעצמו את תיעוד האירוע לרשתות החברתיות שלו וכתב: ""ניאו-נא3י תקף אותי אחרי עימות מצולם בארה""ב. אבל האידיוט הזה נפל על גולנצ'יק"" @ramelibrandts 📸: שימוש לפי סעיף 27א' לחוק זכויות יוצרים",83,350463,11340,579,806,197,635
7672484418333740295,2026-08-11,Video,יש הורים שעדיין לא יודעים איפה יהיו הילדים שלהם ב-1 בספטמבר  @liran_kog,256,46099,1663,151,307,120,119
7672484796412529927,2026-08-10,Video,העיתונאי הרוסי שנחת בארץ - ונעלם (איתמר וישנקו),126,35889,1278,46,135,27,111
7672482889757445384,2026-08-10,Video,טראמפ ניסה לעקוץ את טיילור והיא לא נשארה חייבת @doritassarafmizra,273,26570,1756,40,73,10,75
7672482272695667975,2026-08-10,Video,מ%ות במקום החלקה על הקרח: הק%^ה באייסמול אילת @itsikzuarets,166,531825,27809,430,6744,638,2199
7672481989496147218,2026-08-10,Video,תודה לסינים: מחירי הרכב בארץ צונחים  @Ofir.halperin,289,68109,1357,91,185,76,129
7672481683744066824,2026-08-10,Video,האם המפלגות הקטנות יכריעו את הבחירות? (שחר גליק),356,16602,366,28,5,2,26
7672483836185595154,2026-08-10,Video,אופק אנדק חשוד בת@פת בת זוגו  @annapines_,187,282271,19689,385,2223,184,1269
7672480811144285448,2026-08-10,Video,כך תרוויחו מאות שקלים בשנה - בלי לצאת מהבית @ittaishickman2,235,11567,245,12,30,11,42
7672473729900760328,2026-08-10,Video,גאווה ישראלית: הכדורגלן מנור סולומון מוצג במדי קבוצת ווסטהאם יונייטד הבריטית  (ליאן וילדאו) 📸: West Ham United,34,35166,2204,36,50,8,58
7672407124105760018,2026-08-10,Video,רעידת אדמה בעוצמה 7.4 בסולם ריכטר הורגשה בקולומביה (רם ברנדס),18,36598,518,17,56,15,24
7672393873385082120,2026-08-10,Video,"קולומביה: רעידת אדמה 7.4 בסולם ריכטר הורגשה במדינה, כך זה נראה באולפן הרדיו של תחנת Blu Radio (רם ברנדס)",19,29355,364,12,16,5,11
7672385617296149768,2026-08-10,Video,המשטרה בצ'כיה מבקשת את עזרת הציבור בזיהוי האיש שניפץ את המראה (יחזקאל קורנברג) 📸: televize spolu,31,1494803,37663,1150,5046,200,1675
7672365092112960788,2026-08-10,Video,"מפקד ביהל""ם על חילוץ ששת החטופים שנרצח!: ""אחד הרגעים הקשים שהיו לי""  (חן ביאר)",46,10469,411,15,7,4,16
