video_id,date,type,title,duration_sec,views,likes,comments
eJAgFo8Embw,2026-08-11,Regular,מחסור באלפי מטפלות ומאות גנים שנסגרו: מה יעשו הילדים ב-1 בספטמבר? (לירן כוג'הינוף),66,2965,34,0
enQ1YdhMtb0,2026-08-11,Regular,המצלמה חוזרת לפוקוס: למה דור ה-Z חוזר לצלם בפילם ומצלמות דיגיטליות,547,805,18,7
jMXfQkoziSk,2026-08-11,Regular,"""אבא שבר את כל הבית"": לגדול בצל הפוסט-טארומה",66,12297,329,7
gGD2B-Yy5Qo,2026-08-11,Regular,"""נפל על גולנצ'יק"": עימות בין יוסף חדאד למשפיען אמריקני נגמר במכות במגרש החניה",84,16267,658,92
58scXwHtw64,2026-08-10,Regular,הדור הבא של תרופות ההרזיה - והחברה הישראלית שהסתבכה,768,8719,115,36
YvZGBWX2DLg,2026-08-10,Regular,מ-8 שקלים אצל החקלאי ועד 60 לצרכן: למה הענבים כל כך יקרים?,775,25901,352,75
SCDv8Ennhc4,2026-08-10,Regular,כך תרוויחו מאות שקלים בשנה - בלי לצאת מהבית,235,15169,256,44
zcck8y4dGm0,2026-08-10,Regular,יכריעו את הבחירות? המפלגות הקטנות לא עוברות את אחוז החסימה,357,10516,108,103
hnUQuvgojTE,2026-08-10,Regular,תודה לסינים: מחירי הרכב בישראל צונחים - והשוק הישראלי בטלטלה,290,35728,349,76
Yb5WQSaEiz4,2026-08-10,Regular,מכות במקום החלקה על הקרח: קטטה אלימה באייסמול באילת,166,18286,155,135
yv2Nd4rR7po,2026-08-10,Regular,טראמפ ניסה לעקוץ את טיילור סוויפט - היא לא נשארה חייבת,273,5385,68,29
Zb7vuCw29Xk,2026-08-10,Regular,"מה יהיה ב-1 בספטמבר? אין מטפלות, המחירים מזנקים - וההורים חסרי אונים",257,8409,105,66
SGKy_e2iHP0,2026-08-10,Regular,"אופק אדנק הוא הזמר המפורסם שחשוד בתקיפת בת זוגו: ""מעולם לא הייתי אלים""",187,12885,150,54
lAl4vfQe4LI,2026-08-10,Regular,איפה ארטיום? העיתונאי הרוסי שהגיע לארץ - ונעלם כלא היה,126,6262,76,53
Z1O9ZFKz8b4,2026-08-10,Regular,"עלייה בפשיעה הלאומנית ביו""ש - וגם באירועי אלימות נגד כוחות הביטחון",202,2605,43,43
qik-iBsN95w,2026-08-10,Regular,"חשיפה: מדינה רצתה לחתום על ""הסכם שלום"" עם ישראל - כדי ""להרדים"" אותה",222,27930,304,123
8zQ6r5mkz2Y,2026-08-10,Shorts,"מפקד ביהל""ם על חילוץ ששת החטופים שנרצחו: ""אחד הרגעים הקשים שהיו לי"" (חן ביאר)",46,17087,257,5
nrdMuwbel5I,2026-08-10,Shorts,"אין עתיד? הטרגדיה הפוליטית של יאיר לפיד (מתוך ההסכת ""עד הקצה"" עם קרן נויבך)",57,19408,132,28
kZ9a6SQ8nzw,2026-08-10,Shorts,סיון פניני סיפרה איך שני משולשים וחוט שינו את העולם (סמדר ברנדיס),50,10968,112,12
MDHbthcOAPQ,2026-08-09,Regular,אבל מה ימכרו שם? ספורה תגיע לארץ כבר באוגוסט – ותפתח 6 סניפים,306,7610,69,29
qNOaRHUWqzU,2026-08-09,Regular,"נהגים, שימו לב: רפורמה חדשה במצלמות המהירות בכבישים",255,43052,436,272
bAfG_ysA0f4,2026-08-09,Regular,"בגלל אדם שפחד לחלל שבת: טיסת ויז מרומא לנתב״ג בוטלה, הנוסעים ישנו בשדה",278,31487,364,358
qFqoSEY_RYg,2026-08-09,Regular,חומצה במקום חומר הרדמה: בת 18 הגיעה לניתוח אף – וסיימה בטיפול נמרץ,189,15953,127,64
yOgE6MnvvbY,2026-08-09,Regular,להבטיח זה זול - הקיום יקר: מה הפוליטיקאים מבטיחים – ומה יצטרכו לעשות?,578,7599,92,57
dHhbH8aI2cU,2026-08-09,Regular,התיעודים נחשפים: זמר הראפ הצעיר חשוד שאיים על זוגתו ונעצר כשהוא מדמם,177,12863,103,70
eGOfS49JpNs,2026-08-09,Regular,צרורות וקולות מלחמה: תושבי כרמית דיווחו על קולות ירי לאורך כל הלילה,233,13967,123,89
pe5N6GtJRbQ,2026-08-09,Regular,בנוכחות יוונית מצומצמת: עשרות הפגנות נגד ישראל התקיימו היום ברחבי יוון,239,22388,241,60
X6UQj9kzg6w,2026-08-09,Regular,שולפים ציפורניים: אחרי הראיונות של אדלשטיין וארדן - חברי הליכוד מגיבים,149,7606,50,11
HYzcByT0FSA,2026-08-09,Regular,ויתר על הגרעין? טראמפ שוקל להכריז על ניצחון ואיראן מקשיחה עמדות,145,4904,44,13
GniTQWC1xAQ,2026-08-09,Regular,"נתניהו נגד תוכנית טראמפ: ""נשלול את התוכנית של מועצת השלום לעזה""",216,9615,77,32
F0YGDlFpiOU,2026-08-09,Shorts,"זכה ב-12.5 מיליון, איבד הכול וחזר לעבוד בצבע: הסיפור של ראובן (יפעת גליק ותמר אלמוג)",50,119230,1194,143
5wchREvso7A,2026-08-08,Regular,"הזוועות מאיראן נחשפות: ""שרפו אותם בחיים, הראו למשפחות את הגופות""",888,16481,237,78
FIFS51vnXTQ,2026-08-08,Regular,"""נחזור להצביע בבחירות"": בני הזוג שעוררו סערה כשירדו מהארץ מדברים",227,8056,59,101
S0px5SUaUm8,2026-08-08,Regular,"""התגעגעתי"": השף רפי כהן חוזר - אחרי הסתבכויות ושנים מתחת לרדאר",506,24006,172,39
plFFZg-Z0ik,2026-08-08,Regular,מיוחד: הפרופסור שיצא נגד חיזבאללה ונאלץ להימלט מלבנון מדבר,331,15005,207,20
k9VtTWawC38,2026-08-08,Regular,"""צריך לצאת מהמלחמה עם איראן"": בכירים בממשל האמריקני מזהירים את טראמפ",153,11062,89,32
rL8kFYJ0wV0,2026-08-08,Regular,"מפקד ביחידת יהל""ם בריאיון מיוחד: ""הכישלון של 7.10 נחרט לנו בראש""",663,48506,753,82
HgoIxgEy2Y4,2026-08-08,Regular,"המועמד המוסלמי לסנאט במישיגן: ""לא רוצה שהמיסים שלי יממנו רצח עם""",211,10541,84,54
YiEnaqb98bo,2026-08-08,Shorts,"מפלסו של הדנובה הגיע לשפל חדש: ספינות נאציות שהוטבעו בו נחשפו, וייצור החשמל נמצא בסכנה (דב גיל-הר)",51,41052,403,16
UpVGs7l0Akc,2026-08-07,Regular,שני משולשים וחוט ששינו את העולם: 80 שנה להמצאת הביקיני,1363,12898,151,57
1e17Q8FP9dI,2026-08-07,Regular,החיטה צומחת שוב: שלוש שנים אחרי הטבח - תושבי הקיבוצים חוזרים הביתה,806,9492,77,44
Q0gH81Br3dU,2026-08-07,Regular,החקלאות בערבה נמצאת בסכנה? המאגרים מתרוקנים - ומי ההשקייה אוזלים,778,30082,312,100
tvyOITo5iOk,2026-08-07,Regular,ספינות נאציות נחשפות - וייצור החשמל הופסק: נהר הדנובה מתייבש,671,42862,369,62
Bge-c7ZGvcw,2026-08-07,Regular,"""צריכות להירקב בכלא"": כתב אישום הוגש נגד המעורבים ברצח בניהו רזי ז""ל",236,143878,572,226
9RS0yY79Bb8,2026-08-07,Regular,"הנשיא טראמפ אופטימי - למרות העיכוב בהסכם עם איראן: ""בקרוב זה יקרה""",118,7515,47,8
8ifFbOJ7J7U,2026-08-07,Regular,"יד ימינו לשעבר של נתניהו שובר שתיקה: ""המשפחה הפעילה לחץ והשפיעה עליו""",1051,36727,531,394
0GICA2XKWYs,2026-08-07,Shorts,"""סמוטריץ' משתיק את הנשים שסבלו במלחמה"": הדילמה של צעירי הציונות הדתית (שאול אמסטרדמסקי)",44,35719,411,43
rVW2Sus6Bko,2026-08-07,Regular,"""אין לי כיום למי להצביע"": הדתיים הלאומיים מחפשים בית פוליטי",721,36781,520,349
pq6oOHEhoGc,2026-08-06,Shorts,"שיעור שלא מלמדים בביה""ס לרפואה: כשרעידת אדמה אדירה הכתה ביפן - תוך כדי ניתוח",16,111868,777,24
c5YybLsxwOU,2026-08-06,Regular,אדווה בת ה-13 עברה חרם וסיימה את חייה - אימה מגישה תביעת ענק נגד משרד החינוך,343,41568,505,272
xXadjDCscf0,2026-08-06,Regular,"""אי אפשר להסכים שהורים יקברו את ילדיהם"": פרידה מהראל ותמיר שנפלו בלבנון",254,5967,42,7
