"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18049961678019039,17841407868310918,kan_news,"כאן חדשות","הלילה בתימן: מתקפה אווירית רחבת היקף 👇

בלב הפעולה נגד החות'ים: שיתוק כלל הפעילות הכלכלית שלהם בנמל חודיידה ובבירה צנעא",10,"12/18/2024 21:43",https://www.instagram.com/reel/DDv6XfAoNTa/,"IG reel",,Lifetime,49198,32498,954,36,6,123,24
17843968776371734,17841407868310918,kan_news,"כאן חדשות","השתלשלות האירועים הלילה ☝️",0,"12/18/2024 22:00",https://www.instagram.com/p/DDv8YLZou9-/,"IG carousel",,Lifetime,88907,57057,3061,106,1,47,61
18032860283148510,17841407868310918,kan_news,"כאן חדשות","טיל בליסטי מתימן (או רסיס שלו, או רסיס יירוט, זה עדיין בבדיקה) פגע להם בבית הספר, ועכשיו הם יצטרכו להגיע כל בוקר לבית ספר חדש
@yoavborowitz",38,"12/19/2024 00:48",https://www.instagram.com/reel/DDwPlfMBWNq/,"IG reel",,Lifetime,59709,39764,843,126,15,141,46
18005960402689648,17841407868310918,kan_news,"כאן חדשות","קואליציה למען חזרה לעזה 👇

שדולה חדשה נולדה בכנסת, ""לחידוש ההתיישבות בחבל עזה"". יושבי הראש שלה עם חברי הכנסת לימור סון הר-מלך וצבי סוכות מעוצמה יהודית והציונות הדתית. בסיור בגבעת קובי ליד שדרות לציון הקמת השדולה, השתתפו גם הח""כים אושר שקלים מהליכוד ויצחק קרויזר מעוצמה יהודית. גם יו""ר תנועת ""נחלה"" דניאלה ווייס השתתפה בסיור החגיגי. 
@dikla_aharon",0,"12/19/2024 01:46",https://www.instagram.com/p/DDwWQqDMctR/,"IG image",,Lifetime,46439,36656,846,76,0,307,29
18058619476916076,17841464234747957,kan_reshetb,"כאן רשת ב","זוכרים את סמל אורי לוקר | #בלתי_נשכחים",58,"12/19/2024 03:11",https://www.instagram.com/reel/DDwf5M1IjVz/,"IG reel",,Lifetime,48622,37885,1219,60,11,378,0
17999247515541009,17841407868310918,kan_news,"כאן חדשות","אין תחקירים - אין מינויים 👇

לשכת שר הביטחון הודיעה שישראל כ""ץ הנחה את הרמטכ""ל לסיים את התחקירים על אירועי 7 באוקטובר עד לסוף חודש ינואר הקרוב. שר הביטחון גם הודיע שהוא לא יאשר מינויי אלופים חדשים בצה""ל עד שיקבל לידיו את התחקירים ויבין אם הם עשויים להשפיע על קידום המועמדים

מה דעתכם? 🤔

@suleimanmas @carmelamenashe 
צילום: חיים גולדברג, תומר ניוברג - פלאש 90",0,"12/19/2024 03:53",https://www.instagram.com/p/DDwkwHjqKL_/,"IG image",,Lifetime,51198,40225,1364,47,0,225,34
17849726007363525,17841464234747957,kan_reshetb,"כאן רשת ב","“השוטרים צחקו עליי, הושפלתי”: קובי לוי, הלום קרב, עלה לאוטובוס עם כלב שירות - ונעצר",68,"12/19/2024 05:38",https://www.instagram.com/reel/DDwwog2oQML/,"IG reel",,Lifetime,123542,79876,3961,235,18,895,0
17906139737981069,17841407868310918,kan_news,"כאן חדשות","למה האירים לא אוהבים את ישראל? #רקשתדעו",187,"12/19/2024 06:01",https://www.instagram.com/reel/DDwzRwiMyFT/,"IG reel",,Lifetime,120792,68022,3071,509,19,298,384
18078853759604688,17841407868310918,kan_news,"כאן חדשות","אביו של גיא תימור ז""ל הגיע לזירת תאונה ליד הבית - ולא ציפה למצוא שם את בנו שוכב על הכביש ללא רוח חיים אחרי שנדרס בידי נחמן חורי, שנהג ללא רישיון ובהשפעת סמים

@maya_rachlin #זמןאמת",27,"12/19/2024 10:15",https://www.instagram.com/reel/DDxQbS4po4r/,"IG reel",,Lifetime,127853,69778,2244,114,9,258,129
18142448728363915,17841407868310918,kan_news,"כאן חדשות","תיעוד חריג מסוריה מהימים האחרונים: לוחמי צה""ל שפועלים בכפר ג'באתא אלח'שב מצפון לקונייטרה, דרשו מתושבי הכפר להעביר אליהם אמצעי לחימה. בתיעוד נראה אמל""ח רב שתושבי הכפר הסורי, 4 מ""ק מול בוקעאתא, הוסגר לידי צה""ל
Itay Blumental",29,"12/19/2024 12:40",https://www.instagram.com/reel/DDxg-zlv_mR/,"IG reel",,Lifetime,98470,56598,2884,230,8,169,151
18352623691126651,17841407868310918,kan_news,"כאן חדשות","עדות בלעדית מתימן👇

עיתונאי מצנעא, סיפק הצצה למאחורי הקלעים בתימן וסיפר כי המציאות בשטח מורכבת יותר. החות’ים מצידם מקווים לנצל את התקיפות הישראליות כדי לגשר על היחסים עם הציבור התימני, ומסרו כי לא ינמיכו את קצב התקיפות
@roikais",0,"12/19/2024 13:24",https://www.instagram.com/p/DDxmGN3Imzo/,"IG carousel",,Lifetime,73622,45970,1606,31,1,22,42
17970483677815340,17841407868310918,kan_news,"כאן חדשות","מהר, לפני שייגמר: עוד מעט עיריית בני ברק אוסרת על סיורים קולינריים ליליים בעיר - ולשאול יש כמה המלצות לפני שיהיה מאוחר מדי #מקורב_לצלחת @shaulams",49,"12/20/2024 00:01",https://www.instagram.com/reel/DDyu9C9ypCZ/,"IG reel",,Lifetime,84076,54375,1691,1017,18,97,368
18276223198216759,17841407868310918,kan_news,"כאן חדשות","המונים משתתפים בתפילה להשבת החטופים בכותל, כולל אימהות ובנות משפחות חטופים 

@veredpelman
צילום: משמרת 101",0,"12/20/2024 01:02",https://www.instagram.com/p/DDy17-sImvz/,"IG carousel",,Lifetime,155878,136672,7517,170,2,111,82
