year,post_type,category_code,category,count
2025,IG carousel,B,ברייקינג,33
2025,IG carousel,N,סיקור שוטף,266
2025,IG carousel,S,תוכן מתוכנית/כתבה,37
2025,IG carousel,F,תיעוד,52
2025,IG carousel,M,מגזין/פנאי,78
2025,IG carousel,P,קידום שידור,48
2025,IG image,B,ברייקינג,311
2025,IG image,N,סיקור שוטף,774
2025,IG image,S,תוכן מתוכנית/כתבה,29
2025,IG image,F,תיעוד,69
2025,IG image,M,מגזין/פנאי,85
2025,IG image,P,קידום שידור,47
2025,IG reel,B,ברייקינג,89
2025,IG reel,N,סיקור שוטף,343
2025,IG reel,S,תוכן מתוכנית/כתבה,221
2025,IG reel,F,תיעוד,184
2025,IG reel,M,מגזין/פנאי,268
2025,IG reel,P,קידום שידור,74
2026,IG carousel,B,ברייקינג,17
2026,IG carousel,N,סיקור שוטף,142
2026,IG carousel,S,תוכן מתוכנית/כתבה,22
2026,IG carousel,F,תיעוד,12
2026,IG carousel,M,מגזין/פנאי,82
2026,IG carousel,P,קידום שידור,10
2026,IG image,B,ברייקינג,285
2026,IG image,N,סיקור שוטף,624
2026,IG image,S,תוכן מתוכנית/כתבה,18
2026,IG image,F,תיעוד,50
2026,IG image,M,מגזין/פנאי,134
2026,IG image,P,קידום שידור,37
2026,IG reel,B,ברייקינג,88
2026,IG reel,N,סיקור שוטף,321
2026,IG reel,S,תוכן מתוכנית/כתבה,260
2026,IG reel,F,תיעוד,133
2026,IG reel,M,מגזין/פנאי,222
2026,IG reel,P,קידום שידור,55
