date,post_type,category_code,category
2025-01-01,IG image,B,ברייקינג
2025-01-01,IG carousel,P,קידום שידור
2025-01-01,IG image,B,ברייקינג
2025-01-01,IG image,N,סיקור שוטף
2025-01-01,IG reel,S,תוכן מתוכנית/כתבה
2025-01-01,IG image,N,סיקור שוטף
2025-01-01,IG reel,M,מגזין/פנאי
2025-01-01,IG reel,B,ברייקינג
2025-01-02,IG carousel,N,סיקור שוטף
2025-01-02,IG reel,P,קידום שידור
2025-01-02,IG image,M,מגזין/פנאי
2025-01-02,IG image,N,סיקור שוטף
2025-01-02,IG carousel,N,סיקור שוטף
2025-01-02,IG image,N,סיקור שוטף
2025-01-02,IG reel,N,סיקור שוטף
2025-01-02,IG reel,N,סיקור שוטף
2025-01-02,IG carousel,M,מגזין/פנאי
2025-01-02,IG image,F,תיעוד
2025-01-02,IG reel,M,מגזין/פנאי
2025-01-02,IG carousel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,N,סיקור שוטף
2025-01-02,IG image,N,סיקור שוטף
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG image,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG image,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG reel,F,תיעוד
2025-01-02,IG carousel,F,תיעוד
2025-01-02,IG image,B,ברייקינג
2025-01-02,IG image,B,ברייקינג
2025-01-02,IG carousel,B,ברייקינג
2025-01-02,IG image,N,סיקור שוטף
2025-01-03,IG image,N,סיקור שוטף
2025-01-03,IG image,N,סיקור שוטף
2025-01-03,IG reel,M,מגזין/פנאי
2025-01-03,IG carousel,N,סיקור שוטף
2025-01-03,IG image,N,סיקור שוטף
2025-01-03,IG reel,N,סיקור שוטף
2025-01-03,IG image,N,סיקור שוטף
2025-01-03,IG image,N,סיקור שוטף
2025-01-03,IG reel,N,סיקור שוטף
2025-01-03,IG carousel,N,סיקור שוטף
2025-01-03,IG reel,B,ברייקינג
2025-01-04,IG reel,N,סיקור שוטף
2025-01-04,IG reel,M,מגזין/פנאי
2025-01-04,IG image,N,סיקור שוטף
2025-01-04,IG reel,S,תוכן מתוכנית/כתבה
2025-01-04,IG reel,M,מגזין/פנאי
2025-01-04,IG image,N,סיקור שוטף
2025-01-04,IG reel,M,מגזין/פנאי
2025-01-04,IG image,N,סיקור שוטף
2025-01-04,IG carousel,N,סיקור שוטף
2025-01-04,IG carousel,N,סיקור שוטף
2025-01-04,IG carousel,F,תיעוד
2025-01-04,IG image,B,ברייקינג
2025-01-05,IG reel,M,מגזין/פנאי
2025-01-05,IG reel,N,סיקור שוטף
2025-01-05,IG reel,N,סיקור שוטף
2025-01-05,IG image,N,סיקור שוטף
2025-01-05,IG image,N,סיקור שוטף
2025-01-05,IG carousel,N,סיקור שוטף
2025-01-05,IG carousel,N,סיקור שוטף
2025-01-05,IG reel,B,ברייקינג
2025-01-05,IG reel,F,תיעוד
2025-01-05,IG image,N,סיקור שוטף
2025-01-05,IG image,N,סיקור שוטף
2025-01-06,IG reel,F,תיעוד
2025-01-06,IG reel,F,תיעוד
2025-01-06,IG image,N,סיקור שוטף
2025-01-06,IG reel,F,תיעוד
2025-01-06,IG image,B,ברייקינג
2025-01-06,IG reel,M,מגזין/פנאי
2025-01-06,IG image,N,סיקור שוטף
2025-01-06,IG image,N,סיקור שוטף
2025-01-06,IG reel,N,סיקור שוטף
2025-01-06,IG reel,B,ברייקינג
2025-01-06,IG image,F,תיעוד
2025-01-06,IG carousel,M,מגזין/פנאי
2025-01-07,IG carousel,P,קידום שידור
2025-01-07,IG image,B,ברייקינג
2025-01-07,IG image,N,סיקור שוטף
2025-01-07,IG reel,P,קידום שידור
2025-01-07,IG reel,M,מגזין/פנאי
2025-01-07,IG reel,F,תיעוד
2025-01-07,IG image,N,סיקור שוטף
2025-01-07,IG carousel,N,סיקור שוטף
2025-01-07,IG carousel,N,סיקור שוטף
2025-01-07,IG image,N,סיקור שוטף
2025-01-07,IG reel,M,מגזין/פנאי
2025-01-07,IG image,N,סיקור שוטף
2025-01-07,IG reel,N,סיקור שוטף
2025-01-07,IG image,N,סיקור שוטף
2025-01-08,IG reel,N,סיקור שוטף
2025-01-08,IG image,N,סיקור שוטף
2025-01-08,IG carousel,M,מגזין/פנאי
2025-01-08,IG carousel,N,סיקור שוטף
2025-01-08,IG image,N,סיקור שוטף
2025-01-08,IG carousel,M,מגזין/פנאי
2025-01-08,IG reel,M,מגזין/פנאי
2025-01-08,IG reel,N,סיקור שוטף
2025-01-08,IG image,B,ברייקינג
2025-01-08,IG image,B,ברייקינג
2025-01-08,IG reel,N,סיקור שוטף
2025-01-08,IG carousel,S,תוכן מתוכנית/כתבה
2025-01-09,IG carousel,P,קידום שידור
2025-01-09,IG image,B,ברייקינג
2025-01-09,IG reel,N,סיקור שוטף
2025-01-09,IG reel,M,מגזין/פנאי
2025-01-09,IG carousel,M,מגזין/פנאי
2025-01-09,IG image,B,ברייקינג
2025-01-09,IG image,M,מגזין/פנאי
2025-01-09,IG carousel,M,מגזין/פנאי
2025-01-09,IG image,M,מגזין/פנאי
2025-01-09,IG reel,M,מגזין/פנאי
2025-01-09,IG reel,N,סיקור שוטף
2025-01-09,IG carousel,N,סיקור שוטף
2025-01-09,IG reel,N,סיקור שוטף
2025-01-09,IG reel,N,סיקור שוטף
2025-01-09,IG carousel,N,סיקור שוטף
2025-01-09,IG reel,N,סיקור שוטף
2025-01-09,IG image,B,ברייקינג
2025-01-09,IG image,N,סיקור שוטף
2025-01-10,IG carousel,N,סיקור שוטף
2025-01-10,IG image,N,סיקור שוטף
2025-01-10,IG image,P,קידום שידור
2025-01-10,IG image,B,ברייקינג
2025-01-10,IG image,N,סיקור שוטף
2025-01-10,IG carousel,P,קידום שידור
2025-01-11,IG image,N,סיקור שוטף
2025-01-11,IG carousel,M,מגזין/פנאי
2025-01-11,IG reel,N,סיקור שוטף
2025-01-11,IG image,N,סיקור שוטף
2025-01-12,IG image,B,ברייקינג
2025-01-12,IG reel,S,תוכן מתוכנית/כתבה
2025-01-12,IG image,N,סיקור שוטף
2025-01-12,IG image,N,סיקור שוטף
2025-01-13,IG reel,N,סיקור שוטף
2025-01-13,IG reel,N,סיקור שוטף
2025-01-13,IG reel,N,סיקור שוטף
2025-01-13,IG carousel,S,תוכן מתוכנית/כתבה
2025-01-13,IG carousel,B,ברייקינג
2025-01-13,IG reel,N,סיקור שוטף
2025-01-13,IG image,N,סיקור שוטף
2025-01-13,IG carousel,F,תיעוד
2025-01-13,IG image,N,סיקור שוטף
2025-01-13,IG carousel,S,תוכן מתוכנית/כתבה
2025-01-13,IG reel,N,סיקור שוטף
2025-01-13,IG reel,S,תוכן מתוכנית/כתבה
2025-01-14,IG reel,N,סיקור שוטף
2025-01-14,IG image,P,קידום שידור
2025-01-14,IG reel,S,תוכן מתוכנית/כתבה
2025-01-14,IG image,N,סיקור שוטף
2025-01-14,IG image,N,סיקור שוטף
2025-01-14,IG image,N,סיקור שוטף
2025-01-14,IG image,N,סיקור שוטף
2025-01-15,IG reel,F,תיעוד
2025-01-15,IG image,P,קידום שידור
2025-01-15,IG reel,B,ברייקינג
2025-01-15,IG carousel,B,ברייקינג
2025-01-15,IG image,B,ברייקינג
2025-01-15,IG reel,N,סיקור שוטף
2025-01-15,IG image,N,סיקור שוטף
2025-01-15,IG reel,N,סיקור שוטף
2025-01-15,IG image,B,ברייקינג
2025-01-15,IG reel,N,סיקור שוטף
2025-01-16,IG image,P,קידום שידור
2025-01-16,IG reel,N,סיקור שוטף
2025-01-16,IG image,B,ברייקינג
2025-01-16,IG image,P,קידום שידור
2025-01-16,IG carousel,N,סיקור שוטף
2025-01-16,IG image,N,סיקור שוטף
2025-01-16,IG reel,N,סיקור שוטף
2025-01-16,IG carousel,N,סיקור שוטף
2025-01-16,IG reel,S,תוכן מתוכנית/כתבה
2025-01-16,IG reel,N,סיקור שוטף
2025-01-16,IG image,N,סיקור שוטף
2025-01-16,IG image,N,סיקור שוטף
2025-01-16,IG reel,P,קידום שידור
2025-01-17,IG carousel,N,סיקור שוטף
2025-01-17,IG reel,P,קידום שידור
2025-01-17,IG carousel,M,מגזין/פנאי
2025-01-17,IG reel,N,סיקור שוטף
2025-01-17,IG reel,N,סיקור שוטף
2025-01-17,IG reel,S,תוכן מתוכנית/כתבה
2025-01-17,IG image,N,סיקור שוטף
2025-01-17,IG carousel,N,סיקור שוטף
2025-01-17,IG reel,M,מגזין/פנאי
2025-01-17,IG image,N,סיקור שוטף
2025-01-17,IG image,N,סיקור שוטף
2025-01-18,IG reel,P,קידום שידור
2025-01-18,IG image,N,סיקור שוטף
2025-01-18,IG image,M,מגזין/פנאי
2025-01-18,IG reel,S,תוכן מתוכנית/כתבה
2025-01-18,IG image,B,ברייקינג
2025-01-18,IG reel,F,תיעוד
2025-01-18,IG reel,S,תוכן מתוכנית/כתבה
2025-01-18,IG carousel,N,סיקור שוטף
2025-01-18,IG reel,F,תיעוד
2025-01-18,IG reel,N,סיקור שוטף
2025-01-18,IG image,B,ברייקינג
