year,month,category_code,category,count
2025,01,B,ברייקינג,57
2025,01,N,סיקור שוטף,198
2025,01,S,תוכן מתוכנית/כתבה,20
2025,01,F,תיעוד,85
2025,01,M,מגזין/פנאי,47
2025,01,P,קידום שידור,18
2025,02,B,ברייקינג,40
2025,02,N,סיקור שוטף,225
2025,02,S,תוכן מתוכנית/כתבה,35
2025,02,F,תיעוד,75
2025,02,M,מגזין/פנאי,38
2025,02,P,קידום שידור,21
2025,03,B,ברייקינג,37
2025,03,N,סיקור שוטף,194
2025,03,S,תוכן מתוכנית/כתבה,42
2025,03,F,תיעוד,25
2025,03,M,מגזין/פנאי,44
2025,03,P,קידום שידור,20
2025,04,B,ברייקינג,41
2025,04,N,סיקור שוטף,141
2025,04,S,תוכן מתוכנית/כתבה,30
2025,04,F,תיעוד,34
2025,04,M,מגזין/פנאי,94
2025,04,P,קידום שידור,20
2025,05,B,ברייקינג,51
2025,05,N,סיקור שוטף,193
2025,05,S,תוכן מתוכנית/כתבה,13
2025,05,F,תיעוד,20
2025,05,M,מגזין/פנאי,89
2025,05,P,קידום שידור,24
2025,06,B,ברייקינג,126
2025,06,N,סיקור שוטף,186
2025,06,S,תוכן מתוכנית/כתבה,61
2025,06,F,תיעוד,30
2025,06,M,מגזין/פנאי,59
2025,06,P,קידום שידור,28
2025,07,B,ברייקינג,58
2025,07,N,סיקור שוטף,159
2025,07,S,תוכן מתוכנית/כתבה,53
2025,07,F,תיעוד,19
2025,07,M,מגזין/פנאי,44
2025,07,P,קידום שידור,28
2025,08,B,ברייקינג,23
2025,08,N,סיקור שוטף,87
2025,08,S,תוכן מתוכנית/כתבה,33
2025,08,F,תיעוד,17
2025,08,M,מגזין/פנאי,16
2025,08,P,קידום שידור,10
2026,01,B,ברייקינג,44
2026,01,N,סיקור שוטף,135
2026,01,S,תוכן מתוכנית/כתבה,27
2026,01,F,תיעוד,21
2026,01,M,מגזין/פנאי,64
2026,01,P,קידום שידור,10
2026,02,B,ברייקינג,61
2026,02,N,סיקור שוטף,137
2026,02,S,תוכן מתוכנית/כתבה,23
2026,02,F,תיעוד,19
2026,02,M,מגזין/פנאי,70
2026,02,P,קידום שידור,14
2026,03,B,ברייקינג,78
2026,03,N,סיקור שוטף,165
2026,03,S,תוכן מתוכנית/כתבה,63
2026,03,F,תיעוד,42
2026,03,M,מגזין/פנאי,60
2026,03,P,קידום שידור,15
2026,04,B,ברייקינג,45
2026,04,N,סיקור שוטף,176
2026,04,S,תוכן מתוכנית/כתבה,39
2026,04,F,תיעוד,28
2026,04,M,מגזין/פנאי,64
2026,04,P,קידום שידור,11
2026,05,B,ברייקינג,51
2026,05,N,סיקור שוטף,151
2026,05,S,תוכן מתוכנית/כתבה,52
2026,05,F,תיעוד,30
2026,05,M,מגזין/פנאי,63
2026,05,P,קידום שידור,10
2026,06,B,ברייקינג,56
2026,06,N,סיקור שוטף,145
2026,06,S,תוכן מתוכנית/כתבה,38
2026,06,F,תיעוד,21
2026,06,M,מגזין/פנאי,44
2026,06,P,קידום שידור,23
2026,07,B,ברייקינג,40
2026,07,N,סיקור שוטף,132
2026,07,S,תוכן מתוכנית/כתבה,39
2026,07,F,תיעוד,27
2026,07,M,מגזין/פנאי,59
2026,07,P,קידום שידור,17
2026,08,B,ברייקינג,15
2026,08,N,סיקור שוטף,46
2026,08,S,תוכן מתוכנית/כתבה,19
2026,08,F,תיעוד,7
2026,08,M,מגזין/פנאי,14
2026,08,P,קידום שידור,2
