platform,month,type,count
facebook,2025-01,Photo,221
facebook,2025-01,Status,17
facebook,2025-01,Video,124
facebook,2025-02,Link,1
facebook,2025-02,Photo,296
facebook,2025-02,Status,4
facebook,2025-02,Video,108
facebook,2025-03,Photo,220
facebook,2025-03,Status,11
facebook,2025-03,Video,128
facebook,2025-04,Link,1
facebook,2025-04,Photo,185
facebook,2025-04,Status,3
facebook,2025-04,Video,132
facebook,2025-05,Photo,228
facebook,2025-05,Status,3
facebook,2025-05,Video,130
facebook,2025-06,Photo,293
facebook,2025-06,Status,13
facebook,2025-06,Video,113
facebook,2025-07,Photo,220
facebook,2025-07,Video,156
facebook,2025-08,Photo,155
facebook,2025-08,Video,158
facebook,2025-09,Photo,221
facebook,2025-09,Status,1
facebook,2025-09,Video,109
facebook,2025-10,Photo,280
facebook,2025-10,Reel,372
facebook,2025-10,Status,1
facebook,2025-10,Video,3
facebook,2025-11,Photo,174
facebook,2025-11,Reel,294
facebook,2025-12,Photo,164
facebook,2025-12,Reel,260
facebook,2026-01,Photo,204
facebook,2026-01,Reel,286
facebook,2026-02,Photo,248
facebook,2026-02,Reel,297
facebook,2026-03,Photo,280
facebook,2026-03,Reel,346
facebook,2026-04,Photo,310
facebook,2026-04,Reel,278
facebook,2026-04,Status,3
facebook,2026-05,Photo,293
facebook,2026-05,Reel,310
facebook,2026-06,Photo,280
facebook,2026-06,Reel,260
facebook,2026-07,Photo,244
facebook,2026-07,Reel,317
facebook,2026-08,Photo,91
facebook,2026-08,Reel,104
instagram,2025-01,Carousel,53
instagram,2025-01,Photo,169
instagram,2025-01,Reel,150
instagram,2025-02,Carousel,86
instagram,2025-02,Photo,238
instagram,2025-02,Reel,205
instagram,2025-03,Carousel,93
instagram,2025-03,Photo,161
instagram,2025-03,Reel,122
instagram,2025-04,Carousel,66
instagram,2025-04,Photo,136
instagram,2025-04,Reel,140
instagram,2025-05,Carousel,52
instagram,2025-05,Photo,184
instagram,2025-05,Reel,167
instagram,2025-06,Carousel,77
instagram,2025-06,Photo,243
instagram,2025-06,Reel,210
instagram,2025-07,Carousel,78
instagram,2025-07,Photo,155
instagram,2025-07,Reel,136
instagram,2025-08,Carousel,80
instagram,2025-08,Photo,119
instagram,2025-08,Reel,147
instagram,2025-09,Carousel,72
instagram,2025-09,Photo,163
instagram,2025-09,Reel,159
instagram,2025-10,Carousel,86
instagram,2025-10,Photo,213
instagram,2025-10,Reel,237
instagram,2025-11,Carousel,54
instagram,2025-11,Photo,114
instagram,2025-11,Reel,120
instagram,2025-12,Carousel,32
instagram,2025-12,Photo,114
instagram,2025-12,Reel,109
instagram,2026-01,Carousel,55
instagram,2026-01,Photo,122
instagram,2026-01,Reel,125
instagram,2026-02,Carousel,33
instagram,2026-02,Photo,154
instagram,2026-02,Reel,131
instagram,2026-03,Carousel,33
instagram,2026-03,Photo,172
instagram,2026-03,Reel,224
instagram,2026-04,Carousel,42
instagram,2026-04,Photo,200
instagram,2026-04,Reel,121
instagram,2026-05,Carousel,42
instagram,2026-05,Photo,167
instagram,2026-05,Reel,146
instagram,2026-06,Carousel,35
instagram,2026-06,Photo,160
instagram,2026-06,Reel,133
instagram,2026-07,Carousel,35
instagram,2026-07,Photo,128
instagram,2026-07,Reel,151
instagram,2026-08,Carousel,11
instagram,2026-08,Photo,45
instagram,2026-08,Reel,49
